Conservative Binning (Horizon + .15 h Mpc^-1),,,Fiducial Binning (Horizon + .03 h Mpc^-1),,,Beardsley Binning (Primary Beam + .03 h Mpc^-1),
k (hMpc^-1),"Error on ∆^2 (mK^2)
(includes sample variance)",,k (hMpc^-1),"Error on ∆^2 (mK^2)
(includes sample variance)",,k (hMpc^-1),"Error on ∆^2 (mK^2)
(includes sample variance)"
,,,0.13129,0.65687128,,0.14912,0.31799336
0.19474,1.6583253,,0.19711,0.6793879,,0.20529,0.46778597
0.26011,1.08447,,0.26294,0.6978108,,0.26535,0.69501935
0.32581,1.1203455,,0.32732,1.0307297,,0.3282,1.0631667
0.39105,1.6034746,,0.39208,1.5391506,,0.39227,1.5880647
0.45629,2.3156873,,0.45658,2.3159338,,0.45663,2.350476
0.52079,3.4214354,,0.52087,3.4381295,,0.52089,3.4648945
0.58542,5.2296679,,0.58543,5.248312,,0.58544,5.2673576
0.65005,6.883065,,0.65006,6.8981705,,0.65006,6.9132757
0.71489,9.4336036,,0.71489,9.4431436,,0.71489,9.4526599
0.77958,11.944705,,0.77958,11.952215,,0.77958,11.959714
0.8442,14.318768,,0.8442,14.325635,,0.8442,14.332494
0.90897,18.945043,,0.90897,18.950748,,0.90897,18.956449
0.97376,25.369102,,0.97376,25.37283,,0.97376,25.376556
1.0385,30.479643,,1.0385,30.482764,,1.0385,30.485885
1.1033,34.427257,,1.1033,34.429917,,1.1033,34.432577
1.1681,42.997178,,1.1681,42.999325,,1.1681,43.001472
1.2329,52.457653,,1.2329,52.459341,,1.2329,52.461029
1.2977,62.854278,,1.2977,62.855631,,1.2977,62.856984
1.3624,75.478773,,1.3624,75.480014,,1.3624,75.481255
1.4272,86.410393,,1.4272,86.411505,,1.4272,86.412617
1.4921,101.5702,,1.4921,101.57114,,1.4921,101.57208
1.5569,127.57523,,1.5569,127.57597,,1.5569,127.57671
1.6217,138.79261,,1.6217,138.79332,,1.6217,138.79404
1.6864,159.98767,,1.6864,159.98832,,1.6864,159.98896
1.7513,185.5311,,1.7513,185.53162,,1.7513,185.53215
1.8162,226.86938,,1.8162,226.8698,,1.8162,226.87021
1.8809,258.60246,,1.8809,258.60291,,1.8809,258.60336
1.9457,271.08,,1.9457,271.08043,,1.9457,271.08085
2.0106,305.91703,,2.0106,305.91741,,2.0106,305.91779
2.0754,353.00879,,2.0754,353.00914,,2.0754,353.00949
2.1402,408.37745,,2.1402,408.37775,,2.1402,408.37805
2.2051,469.23174,,2.2051,469.23199,,2.2051,469.23224
2.2699,531.07989,,2.2699,531.08009,,2.2699,531.08029
2.3347,606.31464,,2.3347,606.31485,,2.3347,606.31506
2.3995,673.99096,,2.3995,673.9912,,2.3995,673.99143
2.4644,783.05616,,2.4644,783.05634,,2.4644,783.05652
2.5291,856.52185,,2.5291,856.52207,,2.5291,856.52229
2.594,1717.8984,,2.594,1717.8986,,2.594,1717.8987
