Conservative Binning (Horizon + .15 h Mpc^-1),,,Fiducial Binning (Horizon + .03 h Mpc^-1),,,Beardsley Binning (Primary Beam + .03 h Mpc^-1),
k (hMpc^-1),"Error on ∆^2 (mK^2)
(includes sample variance)",,k (hMpc^-1),"Error on ∆^2 (mK^2)
(includes sample variance)",,k (hMpc^-1),"Error on ∆^2 (mK^2)
(includes sample variance)"
,,,0.06508,1.16260072,,0.068752,0.406627229
,,,0.13074,1.64202642,,0.13105,1.66798115
0.19474,7.36834405,,0.19539,4.60034765,,0.19541,4.65934911
0.25986,11.0767861,,0.25996,10.8048742,,0.25996,10.8439717
0.32469,21.3792466,,0.3247,21.393769,,0.3247,21.4172607
0.38946,37.4431635,,0.38946,37.4596388,,0.38946,37.4760975
0.45421,59.9016816,,0.45421,59.9134944,,0.45421,59.9253017
0.51902,88.8190701,,0.51902,88.8259794,,0.51902,88.8328876
0.58384,133.308037,,0.58384,133.312153,,0.58384,133.31627
0.64864,183.232713,,0.64864,183.236231,,0.64864,183.239748
0.71346,232.976968,,0.71346,232.979798,,0.71346,232.982628
0.77828,315.114897,,0.77828,315.116883,,0.77828,315.11887
0.8431,392.014367,,0.8431,392.01602,,0.8431,392.017673
0.90792,510.42611,,0.90792,510.427498,,0.90792,510.428887
0.97275,628.425952,,0.97275,628.427087,,0.97275,628.428223
1.0376,796.726597,,1.0376,796.727387,,1.0376,796.728178
1.1024,920.546122,,1.1024,920.546841,,1.1024,920.547561
1.1672,1162.07225,,1.1672,1162.07284,,1.1672,1162.07343
1.2321,1338.89192,,1.2321,1338.89244,,1.2321,1338.89296
1.2969,1698.64716,,1.2969,1698.64757,,1.2969,1698.64797
1.3617,2014.98241,,1.3617,2014.98271,,1.3617,2014.98302
1.4266,2296.31509,,1.4266,2296.31538,,1.4266,2296.31567
1.4914,2511.46995,,1.4914,2511.47022,,1.4914,2511.47048
1.5563,3060.72533,,1.5563,3060.72555,,1.5563,3060.72576
1.6211,3541.58912,,1.6211,3541.58932,,1.6211,3541.58952
1.6859,4174.08549,,1.6859,4174.08567,,1.6859,4174.08584
1.7508,4735.36505,,1.7508,4735.3652,,1.7508,4735.36535
1.8156,5626.52269,,1.8156,5626.52281,,1.8156,5626.52293
1.8804,6278.93026,,1.8804,6278.93038,,1.8804,6278.93049
1.9453,7285.81814,,1.9453,7285.81824,,1.9453,7285.81834
2.0101,8674.07303,,2.0101,8674.07311,,2.0101,8674.07318
2.0749,9344.94398,,2.0749,9344.94407,,2.0749,9344.94415
2.1398,9795.31105,,2.1398,9795.31115,,2.1398,9795.31124
2.2046,12822.9359,,2.2046,12822.936,,2.2046,12822.936
2.2695,14433.589,,2.2695,14433.5891,,2.2695,14433.5891
2.3343,17328.8685,,2.3343,17328.8686,,2.3343,17328.8686
2.3991,17584.3056,,2.3991,17584.3057,,2.3991,17584.3057
2.464,20412.5914,,2.464,20412.5915,,2.464,20412.5915
2.5288,20849.3611,,2.5288,20849.3612,,2.5288,20849.3612
2.5936,37516.6508,,2.5936,37516.6509,,2.5936,37516.651
