008.43	0.023992	-1	-0.241411399340401	-0.565688189444613
008.62	0.056381	-1	0.148040722862479	-0.0385251478054366
008.81	0.104596	-1	0.383007821342831	0.24764117437772
009.00	0.158928	-1	0.459674928185545	0.796348235481438
009.20	0.212379	-1	0.441126580762732	1.18979860561471
009.41	0.262732	-1	0.400845733985295	1.37985518919422
009.62	0.309685	-1	0.311270966235724	1.73038379379343
009.83	0.353577	-1	0.195842865677119	2.10305755817531
010.05	0.394674	-1	0.0620160034149524	2.49741147362693
010.27	0.432177	-1	-0.0395630457127868	2.7374317659511
010.49	0.467919	-1	-0.131480318687737	2.97506147245596
010.72	0.505955	-1	-0.183053153076675	3.07064715257366
010.96	0.546873	-1	-0.183804761469611	3.00033499847098
011.20	0.589583	-1	-0.1459531939144	2.85253749881397
011.44	0.632946	-1	-0.0788234637271693	2.67547203614067
011.69	0.675618	-1	0.00353661789503652	2.51586723820039
011.94	0.716572	-1	0.0929088772689761	2.35050540951304
012.20	0.754873	-1	0.179805606676893	2.22981977440304
012.46	0.789769	-1	0.263707226251498	2.10915746577921
012.73	0.820951	-1	0.339755717894166	2.01543179669815
013.01	0.848306	-1	0.408663726285934	1.9361666954863
013.29	0.871722	-1	0.467676744260688	1.87640849725874
013.57	0.891854	-1	0.515327081788855	1.8350464403743
013.87	0.909848	-1	0.554171521770948	1.81437426067551
014.16	0.925714	-1	0.589044942815704	1.78448782286819
014.47	0.939440	-1	0.619171159957557	1.75912822243065
014.78	0.951181	-1	0.646605052618182	1.72509087568831
015.09	0.962276	-1	0.697747021656428	1.72021058927582
015.41	0.970437	-1	0.716935189510795	1.67915362641397
015.74	0.977129	-1	0.73812554413475	1.62637790141502
