29.75	5	5	5	5	5	5
29.75	5	5	5	5	5	5
30.25	5	5	5	5	5	5
30.25	5	5	5	5	5	5
30.75	5	5	5	5	5	5
30.75	5	5	5	5	5	5
31.25	5	5	5	5	5	5
31.25	5	5	5	5	5	5
31.75	5	5	5	5	5	5
31.75	5	5	5	5	5	5
32.25	5	5	5	5	5	5
32.25	5	5	5	5	5	5
32.75	5	5	5	5	5	5
32.75	5	5	5	5	5	5
33.25	5	5	5	5	5	5
33.25	5	5	5	5	5	5
33.75	5	5	5	5	5	5
33.75	5	5	5	5	5	5
34.25	5	5	5	5	5	5
34.25	5	5	5	5	5	5
34.75	5	5	5	5	5	5
