1.971193e-02	1.428245e+00	3.961238e-01
3.311571e-02	3.676446e+00	7.352892e-01
4.674140e-02	8.202601e+00	1.017407e+00
6.765439e-02	1.624973e+01	1.166663e+00
1.014223e-01	1.470015e+01	5.516868e-01
1.529223e-01	1.343020e+01	2.807724e-01
2.292262e-01	1.200851e+01	1.380197e-01
3.439838e-01	1.069186e+01	6.711844e-02
5.162958e-01	9.082452e+00	3.114065e-02
7.745761e-01	8.339366e+00	1.560784e-02
1.161992e+00	9.524525e+00	9.717683e-03
1.677987e+00	1.544190e+01	1.032142e-02
2.192064e+00	2.571249e+01	3.901905e-02
