1.971193e-02	1.997829e-02	5.540980e-03
3.311571e-02	1.092442e-01	2.184883e-02
4.674140e-02	2.544159e-01	3.155641e-02
6.765439e-02	5.112452e-01	3.670527e-02
1.014223e-01	6.741818e-01	2.530159e-02
1.529223e-01	7.217168e-01	1.508825e-02
2.292262e-01	5.435825e-01	6.247662e-03
3.439838e-01	4.372337e-01	2.744745e-03
5.162958e-01	3.560120e-01	1.220644e-03
7.745761e-01	3.227947e-01	6.041381e-04
1.161992e+00	3.500157e-01	3.571141e-04
1.677987e+00	5.604373e-01	3.745981e-04
2.192064e+00	9.463646e-01	1.436121e-03
